Rank,Icon:,Game:,Jul/24,Jan/242,Jul/23,Jan/23,Jul/22,Jan/22,Jul/21,Old Switch,Jan/21,maj-20,okt-19,apr-19,okt-18,maj-18,dec-17,Console,Year,Origin Console,Origin Year,Genre,Company,Compl?,100%,DLC,Series Continue?,,,,
1st,,13 Sentinels: Aegis Rim,45,45,45,45,45,,,,,,,,,,,Switch,2022,PlayStation 4,2020,Visual Novel,Atlus,1,,,,,,,
2nd,,51 Worldwide Games,7,7,7,7,7,7,7,,,,,,,,,Switch,2020,Switch,2020,Board Game,Nintendo,1,,,,,,,
3rd,,A Short Hike,2,2,2,2,2,2,2,2,2,,,,,,,Switch,2020,Switch,2020,Adventure,Whimppoorwill,1,,,,,,,
4th,,AI: The Somnium Files,12,12,12,12,12,12,12,12,12,,,,,,,Switch,2019,Switch,2019,Visual Novel,Spike Chunsoft,1,Yes,,,,,,
5th,,AI: The Somnium Files Nirvana Initiative,12,12,12,12,,,,,,,,,,,,Switch,2022,Switch,2022,Visual Novel,Spike Chunsoft,1,Yes,,,,,,
6th,,Animal Crossing: amiibo Festival,1,,,,,,,,,,,,,,,Wii U,2015,Wii U,2015,Board Game,Nintendo,,,,,,,,
7th,,Animal Crossing: New Horizons,120,120,120,120,120,120,120,115,115,70,,,,,,Switch,2020,Switch,2020,Simulation,Nintendo,1,,Yes,,,,,
8th,,Animal Crossing: New Leaf,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,3DS,2013,3DS,2013,Simulation,Nintendo,1,,,,,,,
9th,,Another Code: Recollection,17,,,,,,,,,,,,,,,Switch,2024,Wii / DS,2005,Visual Novel,Nintendo,1,,,,,,,
10th,,Arms,50,50,50,50,50,50,50,50,50,50,50,50,50,50,35,Switch,2017,Switch,2017,Fighting,Nintendo,1,Yes,,,,,,
11th,,Assassin's Creed III Remastered,20,20,20,20,20,20,20,20,20,20,20,,,,,Switch,2019,PlayStation 3 / Xbox 360 / Wii U,2012,Adventure,Ubisoft,,,,Yes,,,,
12th,,Astral Chain,15,15,15,15,15,15,15,15,15,15,15,,,,,Switch,2019,Switch,2019,Action,Nintendo / Platinum Games,1,Yes,,,,,,
13th,,Atelier Ryza: Ever Darkness and the Secret Hideout,30,30,30,,,,,,,,,,,,,Switch,2019,Switch,2019,RPG,Koei Tecmo,1,,,Yes,,,,
14th,,Azure Striker Gunvolt,14,14,14,,,,,,,,,,,,,3DS,2014,3DS,2014,2D Platformer,Inti Creates,1,1,,Yes,,,,
15th,,Balan Wonderworld,15,15,15,15,15,,,,,,,,,,,Switch,2021,Switch,2021,3D Platformer,Square Enix,1,,,,,,,
16th,,Baldur's Gate 3,29,,,,,,,,,,,,,,,PlayStation 5,2023,PC,2023,Tactical RPG,Larian Studios,,,,,,,,
17th,,Battletoads,2,2,2,2,,,,,,,,,,,,PC,2020,PC,2020,Beat-em-up,Rare,,,,,,,,
