Rank,Game,Name,Hours  Jun5/25,Console,Year,Origin Console,Origin Year,Genre,Company,Credits,100%,DLC,ID
1st,Picture,Pokémon Shield,245,Switch,2019,Switch,2019,RPG,Nintendo / Game Freak,1,Yes,Yes,Pokémon Shield
2nd,Xenoblade Chronicles 3,Xenoblade Chronicles 3,245,Switch,2022,Switch,2022,JRPG,Nintendo / Monolith Soft,1,1,1,Xenoblade Chronicles 3
3rd,Picture,Super Smash Bros. Ultimate,164,Switch,2018,Switch,2018,Fighting,Nintendo / Sora / Bandai Namco,1,1,1,Super Smash Bros. Ultimate
4th,Miitopia,Miitopia,155,Switch,2021,3DS,2017,RPG,Nintendo,1,,,Miitopia
5th,Picture,Ring Fit Adventure,145,Switch,2019,Switch,2019,Sports,Nintendo,1,1,,Ring Fit Adventure
6th,Picture,Crash Team Racing Nitro-Fueled,136,Switch,2019,PlayStation,1999,Racing,Activision / Beenox,1,1,,Crash Team Racing Nitro-Fueled
7th,Splatoon 3,Splatoon 3,132,Switch,2022,Switch,2022,TPS,Nintendo,1,1,1,Splatoon 3
8th,Billedforhåndsvisning,Etrian Odyssey IV,131,3DS,2013,3DS,2013,JRPG,Atlus,1,1,,Etrian Odyssey IV
9th,Picture,Xenoblade Chronicles: Definitive Edition,130,Switch,2020,Wii,2010,JRPG,Nintendo / Monolith Soft,1,1,1,Xenoblade Chronicles Definitive Edition
10th,Pokémon X / Pokémon Y - Trailer de lancement - Vidéo Dailymotion,Pokémon Y,126,3DS,2013,3DS,2013,RPG,Nintendo / Game Freak,1,1,,Pokémon Y
11th,Picture,Fire Emblem: Three Houses,120,Switch,2019,Switch,2019,Tactical RPG,Nintendo / Intelligent Systems,1,Yes,Yes,Fire Emblem Three Houses
12th,Picture,The Legend of Zelda: Breath of Wild,120,Switch,2017,Switch / Wii U,2017,Adventure,Nintendo,1,Yes,Yes / S2V,The Legend of Zelda Breath of Wild
13th,Picture,Animal Crossing: New Horizons,120,Switch,2020,Switch,2020,Simulation,Nintendo,1,,Yes,Animal Crossing New Horizons
14th,"Pokémon Platinum Version (video game, monster collector, JRPG, turn-based  RPG, fantasy) reviews & ratings - Glitchwave",Pokémon Platinum,114,DS,2009,DS,2009,RPG,Nintendo / Game Freak,1,1,,Pokémon Platinum
15th,Super Mario Party Jamboree,Super Mario Party Jamboree,113,Switch,2024,Switch,2024,Board Game,Nintendo / Nd Cube,1,1,S2V,Super Mario Party Jamboree
16th,Test : FFT : Recré A2 sur DS - Gamekult,Final Fantasy Tactics A2: Grimoire of the Rift,112,DS,2008,DS,2008,Tactical RPG,Square Enix,1,1,,Final Fantasy Tactics A2 Grimoire of the Rift
17th,The Legend of Heroes: Trails of Cold Steel III | Nintendo Switch ...,The Legend of Heroes: Trails of Cold Steel III,110,Switch,2020,Switch,2020,JRPG,NIS America / Nihon Falcom,1,,,The Legend of Heroes Trails of Cold Steel III
18th,Picture,Kingdom Hearts: Melody of Memory,110,Switch,2020,Switch,2020,Music,Square Enix,1,,,Kingdom Hearts Melody of Memory
19th,Persona 5 Royal,Persona 5 Royal,110,Switch,2022,PlayStation 3 / PlayStation 4,2017,JRPG,Sega / Atlus,1,,,Persona 5 Royal
20th,Persona Q: Shadow of the Labyrinth - GameSpot,Persona Q: Shadow of the Labyrinth,106,3DS,2014,3DS,2014,RPG,Atlus,1,1,,Persona Q Shadow of the Labyrinth
21st,Billedforhåndsvisning,New Pokémon Snap,105,Switch,2021,Switch,2021,Simulation,Nintendo / Bandai Namco,1,Yes,Yes,New Pokémon Snap
